Wave,Module_or_Capability,Capability_Type,Target_Scope_Status,Learning_Priority,Upstream_Dependency,Shared_Domain_Dependency,Accounting_Dependency,SaaS_Dependency,Thailand_Localization_Dependency,Learning_Gate,Design_Freeze_Gate,Evidence_Location,Owner,Reviewer,Verification_Status,Gate_Impact,Notes_Unknowns
7,Document Management Business App,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Document Platform+IAM+Workflow,Document,Indirect,MANDATORY,Thailand retention/privacy where applicable,ML-W7-G1,Document Platform + Data Governance Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Distinct from attachment storage service,Business folders/classification/workflow TBD
7,Knowledge Base,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Document Platform+IAM+Search,Knowledge,None,MANDATORY,Thai/English content support,ML-W7-G1,Knowledge/Document Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Project KB governance separate from user KB,Search/index semantics TBD
7,Approval Center / Approval Operations,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Workflow/Approval Engine+IAM+Audit,Approval,Indirect,MANDATORY,Thailand business control context,ML-W7-G1,Approval Engine Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,User-facing operations app over neutral engine,Must not duplicate engine logic
7,Audit / Compliance Workspace,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,Audit Platform+Data Governance+IAM,Audit,Indirect,MANDATORY,Thailand compliance evidence where claimed,ML-W7-G1,Audit + Data Governance Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Workspace distinct from immutable audit service,Compliance frameworks TBD
7,Enterprise Administration,Enterprise Management Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P7,All Platform Foundations,Configuration,Indirect,MANDATORY,Thailand localization administration,ML-W7-G1,SaaS Platform Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Central admin experience,Must respect tenant/entitlement boundaries
8,External Connector Framework,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,API/Integration+Security+Event,Integration,Indirect,MANDATORY,None generic,ML-W8-G1,API/Integration Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Connector SDK/pattern rather than vendor clone,Credential isolation required
8,Banking Connector,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,Bank+Payment+Connector Framework,Integration,DIRECT,MANDATORY,Thailand bank evidence per connector,ML-W8-G1,Bank + Payment + API + Security gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Specific bank scope TBD,No credential storage shortcuts
8,Payment Gateway,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,Payment+Connector Framework,Integration,DIRECT,MANDATORY,Thailand payment/regulatory evidence per gateway,ML-W8-G1,Payment + API + Security gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Gateway-specific adapters,Core payment stays vendor-neutral
8,Government Integration,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,Tax/Reporting+Connector Framework,Integration,DIRECT,MANDATORY,PRIMARY THAILAND GOVERNMENT EVIDENCE REQUIRED,ML-W8-G1,Thailand Tax/Reporting + API gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Revenue Department/DBD/etc exact scope requires official evidence,No inferred filing workflow
8,Marketplace Connector,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,Marketplace+Connector Framework,Integration,DIRECT,MANDATORY,Thailand marketplace evidence per channel,ML-W8-G1,Marketplace + API + Security gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Shopee/Lazada/etc adapters separate from canonical Marketplace domain,Channel dimensions preserved
8,Logistics Connector,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,Logistics+Connector Framework,Integration,Indirect,MANDATORY,Thailand carrier evidence per connector,ML-W8-G1,Logistics + API + Security gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Carrier-specific adapters only,Core logistics vendor-neutral
8,EDI / e-Invoice / e-Document Integration,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,Sales+Purchase+AR/AP+Tax+Connector Framework,Integration,DIRECT,MANDATORY,Thailand e-Tax/e-Receipt evidence required if in scope,ML-W8-G1,Tax + Accounting + API gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Standards/protocols require authoritative evidence,No Peppol assumption for Thailand
8,Import / Export,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,Canonical Domains+Security+Audit,Integration,Indirect,MANDATORY,Thailand data formats where applicable,ML-W8-G1,Canonical Domain + Security gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Controlled bulk data exchange,Validation and provenance required
8,Migration Factory,Cross-cutting Capability,AUTHORIZED WORKSTREAM - NOT A PRODUCT MODULE COUNT,P8,Canonical Domains+Import/Export+Audit+Data Governance,Migration,DIRECT,MANDATORY,Thailand source/target semantics,ML-W8-G1,Domain-specific migration gates,STATE03_MIGRATION_FACTORY evidence,Team A/B/C/D chain,ChatGPT,ACTIVE WORKSTREAM,Supports migration without polluting core,Migration Factory is cross-cutting capability not lifecycle STATE
8,Public / Partner API,Ecosystem Capability,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P8,API Framework+IAM+Entitlement+Security,Integration,Indirect,MANDATORY,None generic,ML-W8-G1,API + IAM + Security + Entitlement gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,External contract surface,Versioning/rate-limit policies TBD
