candidate_id	module	source_sub_batch	source_gap_id	source_gap_type	severity	source_statement	routing_disposition	mapped_frozen_qids	mapping_rationale	source_neutral_authoring_input	answer_requirement	evidence_requirement	origin	status	coverage_eligible	reconciliation_eligible	frozen_bank_mutation
GMVQ-PREMODEL-BASE-030	base	COMM-G01-B101-S2	GAP-A1-S2-008	NOT-EVIDENCED	HIGH	Change history, audit trail and retention for company, currency, rate, language and layout data are not evidenced in the studied files; platform-level tracking outside scope may apply	MAP-TO-FROZEN-QIDS	STD-Q30;STD-Q48;STD-Q53;G01-BASE-Q008;G01-BASE-Q009;G01-BASE-Q010;G01-BASE-Q014;G01-BASE-Q016	Audit, retention, archive, recovery, actor identity and privileged override are covered.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Change history, audit trail and retention for company, currency, rate, language and layout data are not evidenced in the studied files; platform-level tracking outside scope may apply?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of platform tracking and audit facilities	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-031	base	COMM-G01-B101-S2	GAP-A1-S2-009	NOT-EVIDENCED	LOW	Reactivating an archived company and its branches has no evidenced guard or cascade	MAP-TO-FROZEN-QIDS	STD-Q06;STD-Q07;STD-Q20;STD-Q48;G01-BASE-Q002;G01-BASE-Q014;G01-BASE-Q016	Reactivation is a lifecycle and dependent-reference question.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Reactivating an archived company and its branches has no evidenced guard or cascade?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime test of reactivation	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-032	base	COMM-G01-B101-S2	GAP-A1-S2-010	CONTRADICTION-OR-DEFINITION	LOW	The level scheme referred to as L1 to L12 in the bound instructions is not defined in the packages read; proof state was recorded with the five named layers instead	CONTROL-REMEDIATION	NONE	Undefined L1-L12 scheme is a control-plane defect.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: The level scheme referred to as L1 to L12 in the bound instructions is not defined in the packages read; proof state was recorded with the five named layers instead?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Definition of the level scheme	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-033	base	COMM-G01-B101-S2	GAP-A1-S2-011	THAILAND-DECISION	HIGH	Thai statutory matters not evidenced in scope: Buddhist-era date presentation on tax documents, 13-digit tax identifier and branch code handling, statutory record retention for archived entities, Thai localisation package content	CHANGE-REQUEST-CANDIDATE	STD-Q23;STD-Q25;STD-Q30;STD-Q50;G01-BASE-Q011	Frozen questions cover tax/money/audit/date/locale, but Thai statutory specifics require legal/tax authoring.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Thai statutory matters not evidenced in scope: Buddhist-era date presentation on tax documents, 13-digit tax identifier and branch code handling, statutory record retention for archived entities, Thai localisation package content?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Authoritative Thai legal and revenue authority sources	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-034	base	COMM-G01-B101-S2	GAP-A1-S2-012	RUNTIME-REQUIRED	MEDIUM	Amount in words for Thai baht and satang depends on an optional external capability whose Thai support is unproven	CHANGE-REQUEST-CANDIDATE	STD-Q25;STD-Q54;G01-BASE-Q011;G01-BASE-Q029	Thai baht/satang words and optional support are not explicit in the frozen bank.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Amount in words for Thai baht and satang depends on an optional external capability whose Thai support is unproven?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime test with the capability installed	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-035	base	COMM-G01-B101-S2	GAP-A1-S2-013	SEED-DATA-QUALITY	MEDIUM	Seed currency catalogue has three entries without a numeric code, numeric code 840 shared by three entries, 974 by two and 937 by two, and includes obsolete currencies; SMEsPlus must own an authoritative catalogue rather than copy these anomalies	MAP-TO-FROZEN-QIDS	STD-Q04;STD-Q05;STD-Q08;STD-Q25;G01-BASE-Q013;G01-BASE-Q014;G01-BASE-Q027	Catalogue anomalies are covered by mandatory data, validation, money, shared reference and semantic uniqueness.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Seed currency catalogue has three entries without a numeric code, numeric code 840 shared by three entries, 974 by two and 937 by two, and includes obsolete currencies; SMEsPlus must own an authoritative catalogue rather than copy these anomalies?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Authoritative currency standard reference	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-036	base	COMM-G01-B101-S2	GAP-A1-S2-014	CRITICAL-DECISION-PENDING	HIGH	Company-terms rate presentation divides by the latest company-currency rate rather than the rate at the row's date; historical consistency when the company-currency rate later changes needs a decision	MAP-TO-FROZEN-QIDS	STD-Q17;STD-Q25;STD-Q44;G01-BASE-Q006;G01-BASE-Q007;G01-BASE-Q038	Historical rate consistency and concurrent dependency changes are explicitly covered.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Company-terms rate presentation divides by the latest company-currency rate rather than the rate at the row's date; historical consistency when the company-currency rate later changes needs a decision?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime demonstration and finance decision	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-037	base	COMM-G01-B101-S2	GAP-A1-S2-015	DEFECT-LIKE-BEHAVIOUR	LOW	Paper size versus explicit dimension validation runs only when the size selection changes, so later dimension edits on a standard size are unchecked	MAP-TO-FROZEN-QIDS	STD-Q08;STD-Q44;STD-Q54;G01-BASE-Q005;G01-BASE-Q048	Validation timing and stale validation are frozen failure modes.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Paper size versus explicit dimension validation runs only when the size selection changes, so later dimension edits on a standard size are unchecked?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Design decision for SMEsPlus rule	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-038	base	COMM-G01-B101-S2	GAP-A1-S2-016	SOURCE-OUTSIDE-SUB-BATCH	MEDIUM	Behaviours that shape S2 functions but sit outside it: address and tax-label mixins, record visibility rules, session scope caching, accounting period effects of company archive	MAP-TO-FROZEN-QIDS	STD-Q28;STD-Q29;STD-Q38;STD-Q46;STD-Q49;G01-BASE-Q038;G01-BASE-Q045;G01-BASE-Q049	Visibility, aggregate leakage, defaults, shared scope, derived values and cache are frozen.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Behaviours that shape S2 functions but sit outside it: address and tax-label mixins, record visibility rules, session scope caching, accounting period effects of company archive?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of the owning sub-batches	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-039	base	COMM-G01-B101-S2	GAP-A1-S2-017	CROSS-MODULE-CONSUMERS	HIGH	Consumers of conversion, rate history, per-company rate periods, currency deactivation and paper format association are not visible inside S2; impact of currency or rounding changes on posted data is unknown	MAP-TO-FROZEN-QIDS	STD-Q14;STD-Q15;STD-Q16;STD-Q17;STD-Q18;STD-Q19;STD-Q20;STD-Q21;STD-Q22;STD-Q25;STD-Q33;G01-BASE-Q007;G01-BASE-Q038	Consumers and posted effects are covered by accounting, conversion, inventory bridge, and historical derived-value questions.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Consumers of conversion, rate history, per-company rate periods, currency deactivation and paper format association are not visible inside S2; impact of currency or rounding changes on posted data is unknown?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of consuming modules	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-040	base	COMM-G01-B101-S2	GAP-A1-S2-018	CRITICAL-DECISION-PENDING	HIGH	SaaS equivalent of automatic localisation package installation at company creation (tenant-level activation and chart availability) is undecided	MAP-TO-FROZEN-QIDS	STD-Q03;STD-Q04;STD-Q07;STD-Q27;STD-Q30;G01-BASE-Q001;G01-BASE-Q006;G01-BASE-Q029;G01-BASE-Q039;G01-BASE-Q041	Automatic localisation activation is a route/effect/scope/config/environment-transfer concern.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: SaaS equivalent of automatic localisation package installation at company creation (tenant-level activation and chart availability) is undecided?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Design decision	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-041	base	COMM-G01-B101-S2	GAP-A1-S2-019	CRITICAL-DECISION-PENDING	MEDIUM	Automatic grant of every new company to the system administrator identity: required control or convenience	MAP-TO-FROZEN-QIDS	STD-Q02;STD-Q27;STD-Q28;STD-Q29;STD-Q30;G01-BASE-Q001;G01-BASE-Q003;G01-BASE-Q010;G01-BASE-Q033	Automatic administrator grants are role, scope, access, audit, and revocation questions.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Automatic grant of every new company to the system administrator identity: required control or convenience?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Isolation decision	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-042	base	COMM-G01-B101-S2	GAP-A1-S2-020	NOT-EVIDENCED	MEDIUM	Concurrency and locking behaviour beyond uniqueness constraints is not evidenced (first anonymous identity creation, concurrent edits, long-running translation load, repeated creation from locale)	MAP-TO-FROZEN-QIDS	STD-Q10;STD-Q43;STD-Q44;STD-Q45;G01-BASE-Q026;G01-BASE-Q036;G01-BASE-Q037;G01-BASE-Q047;G01-BASE-Q048	Concurrency, interruption, automation, retry, authority cutover, and stale validation are frozen.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Concurrency and locking behaviour beyond uniqueness constraints is not evidenced (first anonymous identity creation, concurrent edits, long-running translation load, repeated creation from locale)?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Concurrency tests	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-043	base	COMM-G01-B101-S2	GAP-A1-S2-021	DEVIATION	LOW	During research one content search used a file pattern that also matched four files outside the 24 authorised units; only names and counts were returned; results were discarded and used nowhere	CONTROL-REMEDIATION	NONE	Boundary-slip acknowledgement is an evidence-control correction, not a research answer.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: During research one content search used a file pattern that also matched four files outside the 24 authorised units; only names and counts were returned; results were discarded and used nowhere?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller acknowledgement	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-044	base	COMM-G01-B101-S2	GAP-A1-S2-022	SEAL-INCOMPLETE	HIGH	The package manifest with per-file SHA-256 values could not be produced because the only permitted command is the preflight command	CONTROL-REMEDIATION	NONE	Package sealing is evidence integrity control.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: The package manifest with per-file SHA-256 values could not be produced because the only permitted command is the preflight command?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller-run sealing or authorisation of an approved hash command	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-045	base	COMM-G01-B101-S2	GAP-A1-S2-023	THAILAND-DECISION	HIGH	Statutory exchange-rate source, date convention and tax-rounding rules for Thai conversions are not evidenced	CHANGE-REQUEST-CANDIDATE	STD-Q17;STD-Q23;STD-Q25	Thai statutory exchange-rate source/date/tax rounding needs explicit legal/tax evidence beyond generic frozen questions.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Statutory exchange-rate source, date convention and tax-rounding rules for Thai conversions are not evidenced?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Authoritative Thai legal and revenue authority sources	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-046	base	COMM-G01-B101-S2	GAP-A1-S2-024	NOT-EVIDENCED	MEDIUM	Import formats and migration mapping for company, currency, rate and layout data are not evidenced; only translation files have an import path	MAP-TO-FROZEN-QIDS	STD-Q53;STD-Q54;G01-BASE-Q041;G01-BASE-Q043	Migration/restore and path-equivalence controls are frozen.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Import formats and migration mapping for company, currency, rate and layout data are not evidenced; only translation files have an import path?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Migration design	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-047	base	COMM-G01-B101-S2	GAP-A1-S2-025	RUNTIME-REQUIRED	MEDIUM	Runtime status: the platform module that contains these functions is reported installed in the runtime study; no configuration, behavioural or cross-module runtime proof exists for any S2 function	PROOF-LAYER-FOLLOWUP	STD-Q03;STD-Q04;STD-Q54	Installed state proves reachability only; behavioural proof remains required.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Runtime status: the platform module that contains these functions is reported installed in the runtime study; no configuration, behavioural or cross-module runtime proof exists for any S2 function?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime tests	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
